Timestamp,Questão 1 - Você trabalha como:,Questão 2 - Qual a sua idade?,Questão 3 - Quanto tempo você tem de experiência profissional?,Questão 4 - Você trabalha com?,Questão 5 - Qual o tamanho da empresa onde trabalha (ou da qual é dono)?,Questão 6 - Há quanto tempo você passou a trabalhar de forma 100% remota devido à pandemia?,"Questão 7 - Após migrar para remoto, você está agora trabalhando:",Questão 8 - Você considera que sua produtividade nesse período:,"Questão 9 - SE  considera que  sua produtividade AUMENTOU, marque os motivos (você pode marcar mais de um item):","Questão 10 - SE considera que a sua produtividade DIMINUIU, marque os motivos (você pode marcar mais de um item):",Questão 11 - Quais ferramentas de comunicação você PASSOU a usar para trabalho remoto (pode-se responder mais de uma ferramenta; mas apenas aquelas que não usava com frequência antes):,Questão 12 - Qual é o processo de desenvolvimento usado por sua empresa?,"Questão 13 - Quais as principais mudanças que ocorreram nesse processo de desenvolvimento para facilitar o trabalho remoto? (exemplo: eventos que, possivelmente, foram remodelados, como daily meetings)",Questão 13 CURADA,Q13 - Categorias,Questão 14 - Alguma prática de programação adotada na sua empresa foi afetada? (exemplo: pair programming),Questão 15 - A sua empresa recomenda que você sempre fique online durante o horário de trabalho?,Questão 16 - A sua empresa passou a adotar alguma nova política ou ferramenta para acompanhar a sua produtividade?,"Questão 16a - Se respondeu SIM à pergunta anterior, por favor explique sua resposta.",Questão 17 - A empresa forneceu o equipamento necessário para você trabalhar de casa?,"Questão 18 - Após a pandemia, se pudesse escolher, você gostaria de continuar trabalhando remotamente?","Se quiser, deixe aqui qualquer comentário ou sugestão:"
4/7/2020 07:52:43,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Muitas interrupções de outros membros da família (crianças, cônjuge, etc)., Tenho melhores recursos de hardware/software no trabalho do que em casa., Os horários de trabalho da equipe não coincidem, dificultando a colaboração.","Google Hangouts, WhatsApp","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Aumento de reuniões de pontos de controle.,Aumento de reuniões de pontos de controle.,Reunião,Não,Não,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 07:55:55,Product owner ou equivalente,menos de 30 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Aumentou,Menos interrupções ao longo do dia,,"Google Hangouts, Discord","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Nenhuma,Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 07:57:39,Product owner ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Entre 51 e 100 funcionários,Cerca de 2 semanas,Mais horas por dia,Aumentou,"Menos interrupções ao longo do dia, Me sinto mais motivado",,"Microsoft Teams, Rocketchat","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Dailys mais frequentes,Dailys mais frequentes,Reunião,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 07:58:08,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",As daily meetings passaram a ser em vídeo e as tarefas começaram a ser descritas de forma mais  detalhada,As daily meetings passaram a ser em vídeo e as tarefas começaram a ser descritas de forma mais  detalhada,Reunião,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 08:10:04,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Ficar todo o período de expediente em um canal de áudio com o microfone mudo. Assim, caso qualquer um necessite se comunicar, basta desmutar e falar que os outros estarão escutando.","Ficar todo o período de expediente em um canal de áudio com o microfone mudo. Assim, caso qualquer um necessite se comunicar, basta desmutar e falar que os outros estarão escutando.",Comunicação,Não,Sim,Não,,Sim,"Não, eu gostaria de voltar a trabalhar de forma presencial",
4/7/2020 08:10:45,Desenvolvedor ou equivalente,menos de 30 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Entre 51 e 100 funcionários,Cerca de 4 semanas (ou mais),O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Muitas interrupções de outros membros da família (crianças, cônjuge, etc).","Google Hangouts, Discord","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Daily via streaming,Nenhuma,,"O suporte de tarefas entre membros de equipe ficou mais complicado devido a distância e o pair programming é difícil de ser feito, uma vez que o usuário não tem acesso ao código do integrante da equipe",Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",Incluir opção: Sempre trabalhei remotamente
4/7/2020 08:13:33,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"Google Hangouts, WhatsApp","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Não houve nenhuma mudança drástica, apenas um esforço no sentido de manter uma boa comunicação entre o time de desenvolvedores.",Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 08:20:26,Cientista de Dados ou similar,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Maior dificuldade de comunicação com as pessoas., Não consigo manter o foco e me distraio com outras atividades., Muitas interrupções de outros membros da família (crianças, cônjuge, etc).","Google Hangouts, WhatsApp, Discord","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","daily, planning e sprint review.",Nenhuma,,Alguns live code,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 08:23:00,Desenvolvedor ou equivalente,entre 30 e 45 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Entre 51 e 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho",,"Google Hangouts, Zoom","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Reuniões one-on-one toda semana. Todos eventos/reuniões que já existiam passaram a ser por vídeo conferência,Nenhuma,,Não,Sim,Não,,Sim,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 08:48:37,Desenvolvedor ou equivalente,menos de 30 anos,menos de 2 anos,Estágio,Mais de 100 funcionários,Cerca de 4 semanas (ou mais),O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Tenho melhores recursos de hardware/software no trabalho do que em casa., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet.",Google Hangouts,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","O daily meeting mudou o horário e começou a ser em vídeo (pra simular da melhor forma possível o ambiente presencial), e os One on Ones, em vez de quinzenais, se tornaram semanais.","O daily meeting mudou o horário e começou a ser em vídeo (pra simular da melhor forma possível o ambiente presencial), e os One on Ones, em vez de quinzenais, se tornaram semanais.",Reunião,"Não tanto. Práticas que exigiam que uma pessoa estivesse fisicamente perto da outra, como o pair programming, puderam continuar operando ao compartilhar as telas, por exemplo.",Sim,Não,,Sim,"Não, eu gostaria de voltar a trabalhar de forma presencial",
